Team,IP,ERA,TBF,H,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA
Angels,735,3.97,3114,721,351,324,106,243,6,25,625,0.257,0.318,0.42,0.318
Astros,766,3.4,3148,702,303,289,73,208,13,20,786,0.242,0.296,0.386,0.294
Athletics,736,4.12,3099,722,353,337,82,222,12,27,600,0.257,0.315,0.404,0.31
Blue Jays,749,4.1,3147,705,363,341,96,238,4,32,674,0.247,0.31,0.411,0.311
Braves,750,4.39,3247,712,404,366,79,305,38,36,662,0.251,0.328,0.394,0.311
Brewers,743,3.76,3142,709,351,310,95,261,20,29,629,0.252,0.32,0.415,0.316
Cardinals,739,4.08,3124,722,360,335,78,222,17,29,658,0.255,0.313,0.389,0.304
Cubs,750,2.72,3009,546,247,227,73,255,12,30,755,0.203,0.278,0.327,0.266
Diamondbacks,751,5.54,3369,855,493,462,108,316,27,30,666,0.287,0.359,0.477,0.356
Dodgers,737,2.97,2976,593,261,243,68,216,28,24,782,0.219,0.282,0.342,0.27
Giants,744,3.57,3082,697,306,295,64,221,13,24,649,0.249,0.308,0.38,0.298
Indians,737,3.9,3066,688,347,319,102,225,9,16,704,0.246,0.304,0.42,0.311
Mariners,749,3.81,3115,698,345,317,118,218,12,28,706,0.245,0.304,0.425,0.313
Marlins,732,3.53,3078,643,302,287,65,294,29,36,725,0.238,0.319,0.364,0.298
Mets,745,3.41,3085,654,301,282,81,238,20,19,784,0.236,0.298,0.373,0.29
Nationals,755.1,3.43,3094,646,307,288,79,222,26,31,774,0.231,0.293,0.367,0.285
Orioles,732,3.81,3079,699,336,310,88,261,3,30,642,0.253,0.322,0.405,0.316
Padres,749,4.17,3201,731,383,347,93,257,22,27,633,0.253,0.318,0.41,0.313
Phillies,748,3.95,3155,719,363,328,122,229,17,26,712,0.253,0.312,0.44,0.321
Pirates,735.1,4.16,3184,744,387,340,78,272,15,41,607,0.265,0.336,0.425,0.328
Rangers,735,4.43,3153,757,391,362,110,250,6,27,582,0.266,0.329,0.439,0.33
Rays,736,3.8,3089,669,338,311,96,255,14,14,727,0.24,0.305,0.385,0.299
Red Sox,734,4.3,3135,734,380,351,96,242,7,42,676,0.26,0.326,0.423,0.324
Reds,742,4.63,3213,721,416,382,140,302,17,32,631,0.254,0.331,0.452,0.335
Rockies,736,5.4,3263,840,477,442,99,257,22,40,636,0.288,0.352,0.469,0.351
Royals,753,4.27,3241,757,371,357,91,264,5,29,668,0.26,0.325,0.408,0.318
Tigers,721,4.18,3026,696,357,335,107,218,7,26,631,0.253,0.312,0.431,0.318
Twins,747,5.12,3272,864,475,425,114,227,13,15,603,0.289,0.34,0.47,0.345
White Sox,736,3.75,3105,702,329,307,102,240,15,31,661,0.251,0.314,0.417,0.314
Yankees,734,3.97,3070,684,340,324,119,208,5,29,738,0.243,0.301,0.419,0.31
